gene.name	uniprot	MolecularFunctions	gene.score	in.AutismKB	in.DDG2P_16_7_2019	in.Table S5	in.denovo_rare(MAF<1%)	in.iPSYCH	in.SFARI	resource.count	in.signor	in.largest.comp	out.edge.in.largest.comp	in.edge.in.largest.comp	glob.out	glob.in
LRP8	Q14114	"amyloid-beta binding [GO:0001540]; apolipoprotein binding [GO:0034185]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; cargo receptor activity [GO:0038024]; high-density lipoprotein particle binding [GO:0008035]; kinesin binding [GO:0019894]; low-density lipoprotein particle receptor activity [GO:0005041]; protein N-terminus binding [GO:0047485]; reelin receptor activity [GO:0038025]; transmembrane signaling receptor activity [GO:0004888]; very-low-density lipoprotein particle receptor activity [GO:0030229]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
FCGR2B	P31994	"amyloid-beta binding [GO:0001540]; IgG binding [GO:0019864]; low-affinity IgG receptor activity [GO:0019772]; protein-containing complex binding [GO:0044877]; transmembrane signaling receptor activity [GO:0004888]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
HES6	Q96HZ4	"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
DMXL2	Q8TDJ6	small GTPase binding [GO:0031267]	3	no	no	no	yes	no	yes	2	yes	yes	2	0	2	0
STX1A	Q16623	"ATP-dependent protein binding [GO:0043008]; calcium channel inhibitor activity [GO:0019855]; calcium-dependent protein binding [GO:0048306]; chloride channel inhibitor activity [GO:0019869]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; myosin head/neck binding [GO:0032028]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; protein-containing complex binding [GO:0044877]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; transmembrane transporter binding [GO:0044325]"	3	no	no	no	no	no	yes	1	yes	yes	1	7	1	7
FLT3	P36888	"ATP binding [GO:0005524]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; nuclear glucocorticoid receptor binding [GO:0035259]; protein self-association [GO:0043621]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor receptor activity [GO:0005021]"		no	no	no	no	no	no	0	yes	yes	13	27	13	27
NSMCE2	Q96MF7	"SUMO ligase activity [GO:0061665]; SUMO transferase activity [GO:0019789]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
CCR5	P51681	"actin binding [GO:0003779]; C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine (C-C motif) ligand 5 binding [GO:0071791]; chemokine receptor activity [GO:0004950]; coreceptor activity [GO:0015026]; identical protein binding [GO:0042802]; phosphatidylinositol phospholipase C activity [GO:0004435]; virus receptor activity [GO:0001618]"		no	no	no	no	no	no	0	yes	yes	1	5	1	5
NUP58	Q9BVL2	"identical protein binding [GO:0042802]; nuclear localization sequence binding [GO:0008139]; protein-containing complex binding [GO:0044877]; structural constituent of nuclear pore [GO:0017056]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
CABLES1	Q8TDN4			no	no	no	no	no	no	0	yes	yes	0	2	0	2
RAD21L1	Q9H4I0	chromatin binding [GO:0003682]	3	no	no	no	no	no	yes	1	yes	yes	1	0	1	0
ELK1	P19419	"chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor coactivator activity [GO:0030374]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]"		no	no	no	no	no	no	0	yes	yes	2	12	2	12
GP9	P14770			no	no	no	no	no	no	0	yes	yes	1	0	1	0
PRPF39	Q86UA1		3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
EPGN	Q6UW88	"epidermal growth factor receptor binding [GO:0005154]; growth factor activity [GO:0008083]; transmembrane receptor protein tyrosine kinase activator activity [GO:0030297]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
PPP6C	O00743	"metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
CLU	P10909	"amyloid-beta binding [GO:0001540]; chaperone binding [GO:0051087]; low-density lipoprotein particle receptor binding [GO:0050750]; misfolded protein binding [GO:0051787]; protein carrier chaperone [GO:0140597]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; signaling receptor binding [GO:0005102]; tau protein binding [GO:0048156]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]"		no	no	no	no	no	no	0	yes	yes	4	1	4	1
SPRR1B	P22528	structural molecule activity [GO:0005198]		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
NCS1	P62166	"calcium ion binding [GO:0005509]; calcium sensitive guanylate cyclase activator activity [GO:0008048]; voltage-gated calcium channel activity [GO:0005245]"		no	no	no	no	no	no	0	yes	yes	2	2	2	2
TOLLIP	Q9H0E2	"interleukin-1, type I receptor binding [GO:0005150]; kinase binding [GO:0019900]; SUMO binding [GO:0032183]; Toll-like receptor binding [GO:0035325]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
MYO5C	Q9NQX4	"actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]"	3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
FAM126A				no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PAXIP1	Q6ZW49			no	no	no	no	no	no	0	yes	yes	1	0	1	0
RHOBTB2	Q9BYZ6	"GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
SLC9A1	P19634	"calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; ion binding [GO:0043167]; molecular adaptor activity [GO:0060090]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; potassium:proton antiporter activity [GO:0015386]; protein phosphatase 2B binding [GO:0030346]; protein-macromolecule adaptor activity [GO:0030674]; sodium:proton antiporter activity [GO:0015385]; sodium:proton antiporter activity involved in regulation of cardiac muscle cell membrane potential [GO:0086040]; solute:proton antiporter activity [GO:0015299]"		no	no	no	no	no	no	0	yes	yes	2	4	2	4
FURIN	P09958	"endopeptidase activity [GO:0004175]; heparan sulfate binding [GO:1904399]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]; nerve growth factor binding [GO:0048406]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; protease binding [GO:0002020]; serine-type endopeptidase activity [GO:0004252]; serine-type endopeptidase inhibitor activity [GO:0004867]"		no	no	no	no	no	no	0	yes	yes	3	0	3	0
SPATA5	Q8NB90	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; preribosome binding [GO:1990275]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
CPAMD8	Q8IZJ3	serine-type endopeptidase inhibitor activity [GO:0004867]		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
TLR8	Q9NR97	"DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; pattern recognition receptor activity [GO:0038187]; RNA binding [GO:0003723]; signaling receptor activity [GO:0038023]; single-stranded RNA binding [GO:0003727]; transmembrane signaling receptor activity [GO:0004888]"		no	no	no	no	no	no	0	yes	yes	NA	NA	0	2
MAL	P21145	"lipid binding [GO:0008289]; peptidase activator activity involved in apoptotic process [GO:0016505]; structural constituent of myelin sheath [GO:0019911]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
RAP1A	P62834	"G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein-containing complex binding [GO:0044877]; small GTPase binding [GO:0031267]"		no	no	no	no	no	no	0	yes	yes	1	6	1	6
ZBTB16	Q05516	"DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription corepressor binding [GO:0001222]"	3	no	yes	no	no	no	yes	2	yes	yes	3	2	3	2
ICAM1	P05362	"integrin binding [GO:0005178]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]"		no	no	no	no	no	no	0	yes	yes	1	3	1	3
ARPP21	Q9UBL0	"calmodulin binding [GO:0005516]; nucleic acid binding [GO:0003676]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
HLA-DQA1	P01909	"MHC class II protein complex binding [GO:0023026]; MHC class II receptor activity [GO:0032395]; peptide antigen binding [GO:0042605]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
TAZ				no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
COPS6	Q7L5N1			no	no	no	no	no	no	0	yes	yes	2	2	2	2
TSPAN4	O14817	"antigen binding [GO:0003823]; integrin binding [GO:0005178]"	3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
TRAF1	Q13077	"identical protein binding [GO:0042802]; thioesterase binding [GO:0031996]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	3	1	3
CHST3	Q7LGC8	"chondroitin 6-sulfotransferase activity [GO:0008459]; N-acetylglucosamine 6-O-sulfotransferase activity [GO:0001517]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
FGFR4	P22455	"ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor receptor activity [GO:0005007]; heparin binding [GO:0008201]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]"		no	no	no	no	no	no	0	yes	yes	3	9	3	9
SEC24D	O94855	"SNARE binding [GO:0000149]; zinc ion binding [GO:0008270]"		no	yes	no	no	no	no	1	yes	yes	1	1	1	1
DNMT3A	Q9Y6K1	"chromatin binding [GO:0003682]; DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein-cysteine methyltransferase activity [GO:0106363]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription corepressor activity [GO:0003714]"	1	no	yes	yes	no	yes	yes	4	yes	yes	2	4	2	4
GMPS	P49915	"ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; GMP synthase activity [GO:0003921]"		no	no	no	no	no	no	0	yes	yes	5	2	5	2
NR1H3	Q13133	"cholesterol binding [GO:0015485]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sterol response element binding [GO:0032810]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	0	3	0	3
MED18	Q9BUE0	transcription coregulator activity [GO:0003712]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
RPA1	P27694	"damaged DNA binding [GO:0003684]; G-rich strand telomeric DNA binding [GO:0098505]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; single-stranded telomeric DNA binding [GO:0043047]"		no	no	no	no	no	no	0	yes	yes	2	2	2	2
RAB5C	P51148	"G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
MYOM1	P52179	"actin filament binding [GO:0051015]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; protein homodimerization activity [GO:0042803]; structural constituent of muscle [GO:0008307]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
SEC16B	Q96JE7			no	no	no	no	no	no	0	yes	yes	0	1	0	1
SRSF7	Q16629	"protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
LONP2	Q86WA8	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; enzyme binding [GO:0019899]; peptidase activity [GO:0008233]; protease binding [GO:0002020]; serine-type endopeptidase activity [GO:0004252]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
L3MBTL2	Q969R5	"chromatin binding [GO:0003682]; histone binding [GO:0042393]; methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	2	2	2	2
BPTF	Q12830	"metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]"		no	yes	no	no	no	no	1	yes	yes	1	0	1	0
MRPS21	P82921	"RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
DIAPH1	O60610	"actin binding [GO:0003779]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; small GTPase binding [GO:0031267]; transmembrane transporter binding [GO:0044325]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
KCNQ4	P56696	"calmodulin binding [GO:0005516]; delayed rectifier potassium channel activity [GO:0005251]; potassium channel activity [GO:0005267]; voltage-gated potassium channel activity [GO:0005249]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
