Resource	NetworkMethod	genes	genes_tot	genes_perc	NumComp	Edges	Nodes	AvDegree	Diameter	AvClusterCoefficient	AvNodeBetwenness	AvEdgeBetwennes
random1	connect	280	1003	28	47	266	280	1.9	10	0.013793103448275862	3.9357142857142855	6.7330827067669174
random2	connect	272	1003	27	41	259	272	1.9044117647058822	5	0.015444015444015444	2.2058823529411766	4.714285714285714
random3	connect	299	1003	30	43	286	299	1.9130434782608696	9	0.01263157894736842	10.217391304347826	14.811188811188812
random4	connect	273	1003	27	34	265	273	1.9413919413919414	6	0.010843373493975903	4.091575091575091	7.415094339622642
random5	connect	280	1003	28	31	274	280	1.957142857142857	12	0.007001166861143524	19.810714285714287	26.485401459854014
random6	connect	273	1003	27	32	269	273	1.9706959706959708	6	0.007033997655334115	2.95970695970696	5.654275092936803
random7	connect	294	1003	29	39	289	294	1.965986394557823	11	0.020309477756286266	9.095238095238095	13.498269896193772
random8	connect	294	1003	29	48	276	294	1.8775510204081634	5	0.01768867924528302	1.7448979591836735	4.144927536231884
random9	connect	265	1003	26	34	249	265	1.879245283018868	11	0.0093603744149766	10.894339622641509	15.791164658634537
random10	connect	320	1003	32	48	301	320	1.88125	11	0.0057361376673040155	8.534375	13.299003322259136
